,Year,Day of Week,Date,Time before change,Time after change,Day of Week.1,Date.1,Time before change.1,Time after change.1
0,1970,Sunday,26 April,2:00,3:00,Sunday,25 October,2:00,1:00
1,1971,Sunday,25 April,2:00,3:00,Sunday,31 October,2:00,1:00
2,1972,Sunday,30 April,2:00,3:00,Sunday,29 October,2:00,1:00
3,1973,Sunday,29 April,2:00,3:00,Sunday,28 October,2:00,1:00
4,1974,Sunday,6 January,2:00,3:00,Sunday,27 October,2:00,1:00
5,1975,Sunday,23 February,2:00,3:00,Sunday,26 October,2:00,1:00
6,1976,Sunday,25 April,2:00,3:00,Sunday,31 October,2:00,1:00
7,1977,Sunday,24 April,2:00,3:00,Sunday,30 October,2:00,1:00
8,1978,Sunday,30 April,2:00,3:00,Sunday,29 October,2:00,1:00
9,1979,Sunday,29 April,2:00,3:00,Sunday,28 October,2:00,1:00
10,1980,Sunday,27 April,2:00,3:00,Sunday,26 October,2:00,1:00
11,1981,Sunday,26 April,2:00,3:00,Sunday,25 October,2:00,1:00
12,1982,Sunday,25 April,2:00,3:00,Sunday,31 October,2:00,1:00
13,1983,Sunday,24 April,2:00,3:00,Sunday,30 October,2:00,1:00
14,1984,Sunday,29 April,2:00,3:00,Sunday,28 October,2:00,1:00
15,1985,Sunday,28 April,2:00,3:00,Sunday,27 October,2:00,1:00
16,1986,Sunday,27 April,2:00,3:00,Sunday,26 October,2:00,1:00
17,1987,Sunday,5 April,2:00,3:00,Sunday,25 October,2:00,1:00
18,1988,Sunday,3 April,2:00,3:00,Sunday,30 October,2:00,1:00
19,1989,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
20,1990,Sunday,1 April,2:00,3:00,Sunday,28 October,2:00,1:00
21,1991,Sunday,7 April,2:00,3:00,Sunday,27 October,2:00,1:00
22,1992,Sunday,5 April,2:00,3:00,Sunday,25 October,2:00,1:00
23,1993,Sunday,4 April,2:00,3:00,Sunday,31 October,2:00,1:00
24,1994,Sunday,3 April,2:00,3:00,Sunday,30 October,2:00,1:00
25,1995,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
26,1996,Sunday,7 April,2:00,3:00,Sunday,27 October,2:00,1:00
27,1997,Sunday,6 April,2:00,3:00,Sunday,26 October,2:00,1:00
28,1998,Sunday,5 April,2:00,3:00,Sunday,25 October,2:00,1:00
29,1999,Sunday,4 April,2:00,3:00,Sunday,31 October,2:00,1:00
30,2000,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
31,2001,Sunday,1 April,2:00,3:00,Sunday,28 October,2:00,1:00
32,2002,Sunday,7 April,2:00,3:00,Sunday,27 October,2:00,1:00
33,2003,Sunday,6 April,2:00,3:00,Sunday,26 October,2:00,1:00
34,2004,Sunday,4 April,2:00,3:00,Sunday,31 October,2:00,1:00
35,2005,Sunday,3 April,2:00,3:00,Sunday,30 October,2:00,1:00
36,2006,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
37,2007,Sunday,11 March,2:00,3:00,Sunday,4 November,2:00,1:00
38,2008,Sunday,9 March,2:00,3:00,Sunday,2 November,2:00,1:00
39,2009,Sunday,8 March,2:00,3:00,Sunday,1 November,2:00,1:00
40,2010,Sunday,14 March,2:00,3:00,Sunday,7 November,2:00,1:00
41,2011,Sunday,13 March,2:00,3:00,Sunday,6 November,2:00,1:00
42,2012,Sunday,11 March,2:00,3:00,Sunday,4 November,2:00,1:00
43,2013,Sunday,10 March,2:00,3:00,Sunday,3 November,2:00,1:00
44,2014,Sunday,9 March,2:00,3:00,Sunday,2 November,2:00,1:00
45,2015,Sunday,8 March,2:00,3:00,Sunday,1 November,2:00,1:00
46,2016,Sunday,13 March,2:00,3:00,Sunday,6 November,2:00,1:00
47,2017,Sunday,12 March,2:00,3:00,Sunday,5 November,2:00,1:00
48,2018,Sunday,11 March,2:00,3:00,Sunday,4 November,2:00,1:00
49,2019,Sunday,10 March,2:00,3:00,Sunday,3 November,2:00,1:00
50,2020,Sunday,8 March,2:00,3:00,Sunday,1 November,2:00,1:00
51,2021,Sunday,14 March,2:00,3:00,Sunday,7 November,2:00,1:00
52,2022,Sunday,13 March,2:00,3:00,Sunday,6 November,2:00,1:00
53,2023,Sunday,12 March,2:00,3:00,Sunday,5 November,2:00,1:00
54,2024,Sunday,10 March,2:00,3:00,Sunday,3 November,2:00,1:00
