Year,Day of Week,Date,Time before change,Time after change,Day of Week,Date,Time before change,Time after change
1971,Sunday,25 April,2:00,3:00,Sunday,31 October,2:00,1:00
1972,Sunday,30 April,2:00,3:00,Sunday,29 October,2:00,1:00
1973,Sunday,29 April,2:00,3:00,Sunday,28 October,2:00,1:00
1974,Sunday,6 January,2:00,3:00,Sunday,27 October,2:00,1:00
1975,Sunday,23 February,2:00,3:00,Sunday,26 October,2:00,1:00
1976,Sunday,25 April,2:00,3:00,Sunday,31 October,2:00,1:00
1977,Sunday,24 April,2:00,3:00,Sunday,30 October,2:00,1:00
1978,Sunday,30 April,2:00,3:00,Sunday,29 October,2:00,1:00
1979,Sunday,29 April,2:00,3:00,Sunday,28 October,2:00,1:00
1980,Sunday,27 April,2:00,3:00,Sunday,26 October,2:00,1:00
1981,Sunday,26 April,2:00,3:00,Sunday,25 October,2:00,1:00
1982,Sunday,25 April,2:00,3:00,Sunday,31 October,2:00,1:00
1983,Sunday,24 April,2:00,3:00,Sunday,30 October,2:00,1:00
1984,Sunday,29 April,2:00,3:00,Sunday,28 October,2:00,1:00
1985,Sunday,28 April,2:00,3:00,Sunday,27 October,2:00,1:00
1986,Sunday,27 April,2:00,3:00,Sunday,26 October,2:00,1:00
1987,Sunday,5 April,2:00,3:00,Sunday,25 October,2:00,1:00
1988,Sunday,3 April,2:00,3:00,Sunday,30 October,2:00,1:00
1989,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
1990,Sunday,1 April,2:00,3:00,Sunday,28 October,2:00,1:00
1991,Sunday,7 April,2:00,3:00,Sunday,27 October,2:00,1:00
1992,Sunday,5 April,2:00,3:00,Sunday,25 October,2:00,1:00
1993,Sunday,4 April,2:00,3:00,Sunday,31 October,2:00,1:00
1994,Sunday,3 April,2:00,3:00,Sunday,30 October,2:00,1:00
1995,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
1996,Sunday,7 April,2:00,3:00,Sunday,27 October,2:00,1:00
1997,Sunday,6 April,2:00,3:00,Sunday,26 October,2:00,1:00
1998,Sunday,5 April,2:00,3:00,Sunday,25 October,2:00,1:00
1999,Sunday,4 April,2:00,3:00,Sunday,31 October,2:00,1:00
2000,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
2001,Sunday,1 April,2:00,3:00,Sunday,28 October,2:00,1:00
2002,Sunday,7 April,2:00,3:00,Sunday,27 October,2:00,1:00
2003,Sunday,6 April,2:00,3:00,Sunday,26 October,2:00,1:00
2004,Sunday,4 April,2:00,3:00,Sunday,31 October,2:00,1:00
2005,Sunday,3 April,2:00,3:00,Sunday,30 October,2:00,1:00
2006,Sunday,2 April,2:00,3:00,Sunday,29 October,2:00,1:00
2007,Sunday,11 March,2:00,3:00,Sunday,4 November,2:00,1:00
2008,Sunday,9 March,2:00,3:00,Sunday,2 November,2:00,1:00
2009,Sunday,8 March,2:00,3:00,Sunday,1 November,2:00,1:00
2010,Sunday,14 March,2:00,3:00,Sunday,7 November,2:00,1:00
2011,Sunday,13 March,2:00,3:00,Sunday,6 November,2:00,1:00
2012,Sunday,11 March,2:00,3:00,Sunday,4 November,2:00,1:00
2013,Sunday,10 March,2:00,3:00,Sunday,3 November,2:00,1:00
2014,Sunday,9 March,2:00,3:00,Sunday,2 November,2:00,1:00
2015,Sunday,8 March,2:00,3:00,Sunday,1 November,2:00,1:00
2016,Sunday,13 March,2:00,3:00,Sunday,6 November,2:00,1:00
2017,Sunday,12 March,2:00,3:00,Sunday,5 November,2:00,1:00
2018,Sunday,11 March,2:00,3:00,Sunday,4 November,2:00,1:00
2019,Sunday,10 March,2:00,3:00,Sunday,3 November,2:00,1:00
2020,Sunday,8 March,2:00,3:00,Sunday,1 November,2:00,1:00
2021,Sunday,14 March,2:00,3:00,Sunday,7 November,2:00,1:00
2022,Sunday,13 March,2:00,3:00,Sunday,6 November,2:00,1:00
2023,Sunday,12 March,2:00,3:00,Sunday,5 November,2:00,1:00
2024,Sunday,10 March,2:00,3:00,Sunday,3 November,2:00,1:00
